en,ru
"""A cat?"" asked the old man.","""Кот?"" Спросил старика."
"""A cat?"" asked the old man.","""Кот?"" Спросил старика."
"""Ah!"" is an interjection.","""Ааа!"" Это впрыск."
"""Ah!"" is an interjection.","""Ааа!"" Это инъекция."
"""Can somebody help me?"" ""I will.""","""Может кто-нибудь мне помочь?"" ""Я сделаю""."
"""Can somebody help me?"" ""I will.""","""Может кто-нибудь мне помочь?"" ""Хорошо."""
"""Do you have any siblings?"" ""No, I'm an only child.""","""У тебя есть братья и сестры?"" ""Нет, я единственный ребенок""."
"""Do you have any siblings?"" ""No, I'm an only child.""","""У тебя есть братья и сестры?"" ""Нет, я единственный ребенок""."
"""Good morning"", said Tom with a smile.","""Доброе утро"", сказал Том с улыбкой."
"""Good morning"", said Tom with a smile.","""Доброе утро"", сказал Том с улыбкой."
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","""Ты закончил?"" ""Но я еще даже не начал""."
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","""Вы закончили?"" Наоборот, я еще даже не начал."
"""Haven't we met somewhere before?"" asked the student.","""Мы раньше не встречались?"" Спросил студента."
"""Haven't we met somewhere before?"" asked the student.","""Разве мы раньше не встречались?"" Спросил студента."
"""He used to love me,"" she answered sadly.","""Он любил меня"", - к сожалению, она ответила."
"""He used to love me,"" she answered sadly.","""Он любил меня"", - ответила она, к сожалению."
"""Hello,"" said Tom, smiling.","""Привет"", сказал Том, улыбаясь."
"""Hello,"" said Tom, smiling.","""Привет"", сказал Том, улыбаясь."
"""How do you feel?"" he inquired.","""Как ты себя чувствуешь?"" Он спросил."
"""How do you feel?"" he inquired.","""Как ты себя чувствуешь?"" Он спросил."
"""I can't even make a crane,"" she said to herself.","""Я даже крана не могу сделать"", сказала она себе."
"""I can't even make a crane,"" she said to herself.","""Я даже не могу сделать кран"", сказала она себе."
"""I don't know"", said Tony.","""Я не знаю"", сказал Тони."
"""I don't know"", said Tony.","""Я не знаю"", сказал Тони."
"""I feel like playing cards."" ""So do I.""","""Я хочу играть в карты"". ""Я тоже""."
"""I feel like playing cards."" ""So do I.""","""Мне хочется играть в карты."" ""Я тоже."""
"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Если ты устал, почему бы тебе не пойти спать?"" ""Потому что если я сейчас посплю, то проснусь слишком рано""."
"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Если ты устал, почему бы тебе не пойти спать?"" ""Потому что если я иду спать сейчас, я просыпаюсь слишком рано."""
"""Let's play tennis."" ""Yes let's.""","""Давайте поиграем в теннис"". ""Да, давай""."
"""Let's play tennis."" ""Yes let's.""","""Давайте поиграем в теннис."" ""Да, давай""."
"""Look,"" she said.","""Смотри"", сказала она."
"""Look,"" she said.","""Смотри"", сказала она."
"""Pass me the salt, please."" ""Here you are.""","""Пошли мне соль, пожалуйста."" ""Вот ты где""."
"""Pass me the salt, please."" ""Here you are.""","""Принесите мне соль, пожалуйста."" ""Вот ты где."""
"""She likes music."" ""So do I.""","""Она любит музыку"". ""Я тоже""."
"""She likes music."" ""So do I.""","""Она любит музыку"". ""Я тоже."""
"""Sit down, please,"" he said.","""Сядь, пожалуйста"", сказал он."
"""Sit down, please,"" he said.","""Сядь, пожалуйста"", сказал он."
"""Thank you for helping me."" ""Don't mention it.""","""Спасибо, что помог мне"". ""Не стоит об этом."""
"""Thank you for helping me."" ""Don't mention it.""","""Спасибо за помощь"". ""Не стоит об этом."""
"""Thank you very much"", she said with a smile.","""Спасибо большое"", сказала она с улыбкой."
"""Thank you very much"", she said with a smile.","""Спасибо большое"", сказала она с улыбкой."
"""Thank you."" ""You're welcome.""","""Спасибо"". ""Пожалуйста""."
"""Thank you."" ""You're welcome.""","""Спасибо"". ""Пожалуйста."""
"""That's very nice of you,"" Willie answered.","""Это очень мило с твоей стороны"", ответил Вилли."
"""That's very nice of you,"" Willie answered.","""Это очень мило с твоей стороны"", ответил Вилли."
"""The phone is ringing."" ""I'll get it.""","""Телефон звонит"". ""Я возьму его""."
"""The phone is ringing."" ""I'll get it.""","""Телефон звонит"". ""Я возьму его""."
"""This is what I was looking for!"" he exclaimed.","""Это то, что я искал!"" Он воскликнул."
"""This is what I was looking for!"" he exclaimed.","""Это то, что я искал!"" Он воскликнул."
"""This looks pretty interesting,"" Hiroshi says.","""Это выглядит довольно интересно"", говорит Хироши."
"""This looks pretty interesting,"" Hiroshi says.","""Это выглядит довольно интересно"", говорит Хироши."
"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""Правда говоря, я боюсь высоты."" ""Ты трус!"""
"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""Правда говоря, я боюсь высоты."" ""Ты трус!"""
"""Trust me,"" he said.","""Поверь мне"", сказал он."
"""Trust me,"" he said.","""Поверь мне"", сказал он."
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Что происходит в пещере? Мне любопытно."" ""Понятия не имею."""
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Что происходит в пещере? Мне любопытно."" ""Понятия не имею."""
"""What's the matter with you?"" she demanded.","""Что с тобой?"" Она потребовала."
"""What's the matter with you?"" she demanded.","""Что с тобой?"" Она потребовала."
"""What's the matter?"" asked the little white rabbit.","""Что случилось?"" Спросил маленького белого кролика."
"""What's the matter?"" asked the little white rabbit.","""Что случилось?"" Спросил маленького белого кролика."
"""When will you be back?"" ""It all depends on the weather.""","""Когда ты вернешься?"" ""Все зависит от погоды""."
"""When will you be back?"" ""It all depends on the weather.""","""Когда ты вернешься?"" ""Всё зависит от погоды""."
"""Who is it?"" ""It's your mother.""","""Кто это?"" ""Это твоя мать""."
"""Who is it?"" ""It's your mother.""","""Кто это?"" ""Это твоя мать."""
"""Why aren't you going?"" ""Because I don't want to.""","""Почему ты не идешь?"" ""Потому что я не хочу""."
"""Why aren't you going?"" ""Because I don't want to.""","""Почему ты не идешь?"" ""Потому что я не хочу""."
"""Will you have another slice of pie?"" ""Yes, please.""","""Ты будешь еще кусочек пирога?"" ""Да, пожалуйста""."
"""Will you have another slice of pie?"" ""Yes, please.""","""Хочешь еще кусочек пирога?"" ""Да, пожалуйста""."
82% - more than four-fifths - of the island's exports is agricultural produce.,82% экспорта острова - более чем четыре пятых - приходится на сельскохозяйственную продукцию.
82% - more than four-fifths - of the island's exports is agricultural produce.,82% (более четырех пятых) экспорта острова приходится на сельскохозяйственную продукцию.
A 6% yield is guaranteed on the investment.,При инвестировании гарантируется 6-процентная доходность.
A 6% yield is guaranteed on the investment.,При инвестировании гарантируется 6-процентная доходность.
A Japanese would never do such a thing.,Японцы никогда бы не сделали такого.
A Japanese would never do such a thing.,Японцы никогда бы такого не сделали.
A Mr Brown wants you on the phone.,"Мистер Браун хочет, чтобы ты позвонил."
A Mr Brown wants you on the phone.,"Мистер Браун хочет, чтобы ты позвонил."
A Mr Marconi wants to see you.,Мистер Маркони хочет вас видеть.
A Mr Marconi wants to see you.,Вас хочет видеть мистер Маркони.
A Persian cat was sleeping under the table.,Под столом спал персидский кот.
A Persian cat was sleeping under the table.,Под столом спала персидская кошка.
A bad cold has kept me from studying this week.,Плохая простуда не позволила мне учиться на этой неделе.
A bad cold has kept me from studying this week.,Плохая простуда помешала мне учиться на этой неделе.
"A bad habit, once formed, is difficult to get rid of.","От плохой привычки, когда она возникла, трудно избавиться."
"A bad habit, once formed, is difficult to get rid of.","От плохой привычки, когда она возникла, трудно избавиться."
A bad smell permeated the room.,В комнате пронизывался плохой запах.
A bad smell permeated the room.,Плохой запах пронзил комнату.
A bad workman always blames his tools.,Плохой рабочий всегда винит свои инструменты.
A bad workman always blames his tools.,Плохой рабочий всегда винит свои инструменты.
A bad workman blames his tools.,Плохой рабочий винит свои инструменты.
A bad workman blames his tools.,Плохой рабочий винит свои инструменты.
A bad workman complains of his tools.,Плохой рабочий жалуется на свои инструменты.
A bad workman complains of his tools.,Плохой рабочий жалуется на свои инструменты.
A ball flew in through the window.,Мяч влетел в окно.
A ball flew in through the window.,В окно влетел мяч.
A ball hit her on the right leg.,Мяч ударил её по правой ноге.
A ball hit her on the right leg.,Мяч ударил её по правой ноге.
A ball is floating down the river.,Мяч плывет по реке.
A ball is floating down the river.,Мяч плывет по реке.
A basketball team consists of five players.,Баскетбольная команда состоит из пяти игроков.
A basketball team consists of five players.,Баскетбольная команда состоит из пяти игроков.
A bat flying in the sky looks like a butterfly.,Летающая летучая мышь в небе выглядит как бабочка.
A bat flying in the sky looks like a butterfly.,Летающая летучая мышь в небе похожа на бабочку.
A bear can climb a tree.,Медведь может забраться на дерево.
A bear can climb a tree.,Медведь может забраться на дерево.
A bear will not touch a dead body.,Медведь не прикоснется к мертвому телу.
A bear will not touch a dead body.,Медведь не прикоснется к мертвому телу.
A beautiful rainbow is spanning the sky.,Красивая радуга распространяется на небо.
A beautiful rainbow is spanning the sky.,Красивая радуга распространяется на небо.
A beautiful valley lies behind the hill.,За холмом лежит красивая долина.
A beautiful valley lies behind the hill.,Прекрасная долина лежит за холмом.
A bee flew out of the window.,Пчела вылетела из окна.
A bee flew out of the window.,Пчела вылетела из окна.
"A beer, please.","Пиво, пожалуйста."
"A beer, please.","Пиво, пожалуйста."
A bicycle will rust if you leave it in the rain.,"Если оставить его под дождем, то велосипед будет ржавчиной."
A bicycle will rust if you leave it in the rain.,"Велосипед будет ржавчиной, если ты оставишь его под дождем."
A big bridge was built over the river.,Большой мост был построен над рекой.
A big bridge was built over the river.,Большой мост был построен над рекой.
A boat capsized.,Лодка была перевернута.
A boat capsized.,Лодка перевернулась.
A book is lying on the desk.,На столе лежит книга.
A book is lying on the desk.,На столе лежит книга.
A bookstore in that location wouldn't make enough money to survive.,"Книжный магазин в этом месте не заработает достаточно денег, чтобы выжить."
A bookstore in that location wouldn't make enough money to survive.,"Книжный магазин в этом месте не заработает достаточно денег, чтобы выжить."
A boy is walking across the street.,Мальчик идет через дорогу.
A boy is walking across the street.,Мальчик идет через дорогу.
A boy sleeping in bed seems to be an angel.,"Мальчик спит в постели, кажется, ангел."
A boy sleeping in bed seems to be an angel.,"Мальчик спит в постели, кажется, ангел."
A burglar broke into the bank last night.,Вчера вечером в банк вор вломился вор.
A burglar broke into the bank last night.,Вчера вечером в банк ворвался грабитель.
A burnt child fears the fire.,Сгоревший ребенок боится огня.
A burnt child fears the fire.,Сгоревший ребенок боится огня.
A bus driver is responsible for the safety of the passengers.,За безопасность пассажиров отвечает водитель автобуса.
