en,ru,bleu,acceptability
"""A cat?"" asked the old man.","""Кот?"" Спросил старика.",0.0,0.9753313
"""Ah!"" is an interjection.","""Ааа!"" Это впрыск.",0.0,0.9957054
"""Ah!"" is an interjection.","""Ааа!"" Это инъекция.",0.0,0.9953092
"""Can somebody help me?"" ""I will.""","""Может кто-нибудь мне помочь?"" ""Я сделаю"".",0.0,0.98879963
"""Can somebody help me?"" ""I will.""","""Может кто-нибудь мне помочь?"" ""Хорошо.""",0.0,0.9903352
"""Do you have any siblings?"" ""No, I'm an only child.""","""У тебя есть братья и сестры?"" ""Нет, я единственный ребенок"".",0.733704399743908,0.99196094
"""Good morning"", said Tom with a smile.","""Доброе утро"", сказал Том с улыбкой.",0.710866788975034,0.99644715
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","""Ты закончил?"" ""Но я еще даже не начал"".",0.0,0.9949167
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","""Вы закончили?"" Наоборот, я еще даже не начал.",0.0,0.9935648
"""Haven't we met somewhere before?"" asked the student.","""Мы раньше не встречались?"" Спросил студента.",0.2513293635022765,0.98831344
"""Haven't we met somewhere before?"" asked the student.","""Разве мы раньше не встречались?"" Спросил студента.",0.2480841500170181,0.9894322
"""He used to love me,"" she answered sadly.","""Он любил меня"", - к сожалению, она ответила.",0.0,0.38483313
"""He used to love me,"" she answered sadly.","""Он любил меня"", - ответила она, к сожалению.",0.0,0.1668077
"""Hello,"" said Tom, smiling.","""Привет"", сказал Том, улыбаясь.",0.6690484408935986,0.9961116
"""How do you feel?"" he inquired.","""Как ты себя чувствуешь?"" Он спросил.",0.0,0.9832597
"""I can't even make a crane,"" she said to herself.","""Я даже крана не могу сделать"", сказала она себе.",0.2978201796359045,0.97540754
"""I can't even make a crane,"" she said to herself.","""Я даже не могу сделать кран"", сказала она себе.",0.398328715515695,0.99400467
"""I don't know"", said Tony.","""Я не знаю"", сказал Тони.",0.6690484408935986,0.9953667
"""I feel like playing cards."" ""So do I.""","""Я хочу играть в карты"". ""Я тоже"".",0.5372018213284308,0.9938478
"""I feel like playing cards."" ""So do I.""","""Мне хочется играть в карты."" ""Я тоже.""",0.0,0.9817599
"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Если ты устал, почему бы тебе не пойти спать?"" ""Потому что если я сейчас посплю, то проснусь слишком рано"".",0.0,0.9631173
"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Если ты устал, почему бы тебе не пойти спать?"" ""Потому что если я иду спать сейчас, я просыпаюсь слишком рано.""",0.1591178311098151,0.9722242
"""Let's play tennis."" ""Yes let's.""","""Давайте поиграем в теннис"". ""Да, давай"".",0.0,0.99254674
"""Let's play tennis."" ""Yes let's.""","""Давайте поиграем в теннис."" ""Да, давай"".",0.0,0.99330693
"""Look,"" she said.","""Смотри"", сказала она.",0.5154486831107657,0.99546176
"""Pass me the salt, please."" ""Here you are.""","""Пошли мне соль, пожалуйста."" ""Вот ты где"".",0.24219535355065,0.9961837
"""Pass me the salt, please."" ""Here you are.""","""Принесите мне соль, пожалуйста."" ""Вот ты где.""",0.2290542233600847,0.9955108
"""She likes music."" ""So do I.""","""Она любит музыку"". ""Я тоже"".",0.7426141117870938,0.99702555
"""She likes music."" ""So do I.""","""Она любит музыку"". ""Я тоже.""",0.5642647028042946,0.9968021
"""Sit down, please,"" he said.","""Сядь, пожалуйста"", сказал он.",0.0,0.9968836
"""Thank you for helping me."" ""Don't mention it.""","""Спасибо, что помог мне"". ""Не стоит об этом.""",0.5946035575013605,0.9968495
"""Thank you for helping me."" ""Don't mention it.""","""Спасибо за помощь"". ""Не стоит об этом.""",0.0,0.9975834
"""Thank you very much"", she said with a smile.","""Спасибо большое"", сказала она с улыбкой.",0.4226839216341241,0.9971867
